paper id,last_name,first_name,full_name,api_gender,api_script,api_scale,api_score,api_probabilityCalibrated
704.2218,Eto,Minoru,Minoru Eto,male,LATIN,-0.9686282865995826,16.12226858504869,0.9843141432997912
704.2218,Evslin,Jarah,Jarah Evslin,female,LATIN,0.71720957166357,8.82898027735641,0.858604785831785
704.2218,Konishi,Kenichi,Kenichi Konishi,male,LATIN,-0.8983345111513887,11.863494661214425,0.9491672555756944
704.2218,Yokoi,Naoto,Naoto Yokoi,male,LATIN,-0.9864838404158336,20.447348541869783,0.9932419202079168
704.2216,Nisse,Mounir,Mounir Nisse,male,LATIN,-0.9682587106189748,16.084325584261393,0.9841293553094874
704.222,Gonzalez,Guillermo,Guillermo Gonzalez,male,LATIN,-0.987500724665542,21.06434744139283,0.993750362332771
704.2222,Fuchs,Ehud,Ehud Fuchs,male,LATIN,-0.9938044294559304,34.32036427905649,0.9969022147279653
704.2226,Bergh,Sidney van den,Sidney van den Bergh,male,LATIN,-0.3793132490226367,5.704072188424048,0.6896566245113184
704.2228,Salvador-Solé,Eduard,Eduard Salvador-Solé,male,LATIN,-0.9931607585026128,26.961733699837424,0.9965803792513064
704.2228,Domínguez-Tenreiro,Rosa,Rosa Domínguez-Tenreiro,female,LATIN,0.98956097662265,21.72204472646105,0.9947804883113248
704.2234,Herbut,Igor F.,Igor F. Herbut,male,LATIN,-0.9935455184080376,27.871434282908048,0.9967727592040188
704.2233,Cremonini,Sera,Sera Cremonini,female,LATIN,0.6342779050400154,7.923290632333941,0.8171389525200077
704.2233,Lin,Feng-Li,Feng-Li Lin,female,LATIN,0.0399969222256353,1.2310275264978428,0.5199984611128177
704.2233,Lin,Hai,Hai Lin,male,LATIN,-0.3098533378817572,4.98636262405109,0.6549266689408786
704.2233,Vaman,Diana,Diana Vaman,female,LATIN,0.9770106383682008,18.162444585839587,0.9885053191841005
704.2233,Wen,Wen-Yu,Wen-Yu Wen,female,LATIN,0.2842251679025551,4.626450427176831,0.6421125839512776
704.2237,Drukker,Nadav,Nadav Drukker,male,LATIN,-0.95807023155982,15.096462161226412,0.97903511577991
704.2237,Giombi,Simone,Simone Giombi,female,LATIN,0.7023661392359868,8.59492794715755,0.8511830696179934
704.2236,Horodecki,Pawel,Pawel Horodecki,male,LATIN,-0.992137380638441,26.01045883398328,0.9960686903192204
704.2238,Kashikawa,Nobunari,Nobunari Kashikawa,male,LATIN,-0.9611056399089422,15.421188190476167,0.9805528199544712
704.2238,Kitayama,Tetsu,Tetsu Kitayama,male,LATIN,-0.9702443682676354,16.30752045297624,0.9851221841338176
704.2238,Ota,Kazuaki,Kazuaki Ota,male,LATIN,-0.3653282506342348,5.512819413934148,0.6826641253171174
