paper id,last_name,first_name,full_name,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.0232,Bergbauer,Christoph,Christoph Bergbauer,male,male,male,male,1.0,0.995747586678398
704.0233,Tomadin,Andrea,Andrea Tomadin,unknown,female,male,female,0.62,0.9536861290540728
704.0233,Mannella,Riccardo,Riccardo Mannella,male,male,male,male,0.99,0.9958318497465672
704.0233,Wimberger,Sandro,Sandro Wimberger,male,male,male,male,0.99,0.9884993531427126
704.0236,Gerhardt,Claus,Claus Gerhardt,male,male,male,male,0.96,0.9650639645321936
704.0235,Rizzo,Thomas G.,Thomas G. Rizzo,male,male,male,male,0.99,0.9965892036838536
704.0237,Mauche,Christopher W.,Christopher W. Mauche,male,male,male,male,0.99,0.9903047253007704
704.0237,Liedahl,Duane A.,Duane A. Liedahl,male,male,male,male,0.99,0.9361917871282056
704.0238,Bower,Geoffrey C.,Geoffrey C. Bower,male,male,male,male,0.99,0.9876834700506174
704.0238,Ulvestad,Jim,Jim Ulvestad,male,male,male,male,0.98,0.9753180581341936
704.0239,Dzubiella,Joachim,Joachim Dzubiella,male,male,male,male,0.99,0.9946155988147264
704.0242,Fish,Vincent L.,Vincent L. Fish,male,male,male,male,0.99,0.9897214348571202
704.0245,Spence,Bill,Bill Spence,male,male,male,male,0.97,0.9871438105460209
704.0245,Travaglini,Gabriele,Gabriele Travaglini,unknown,female,male,female,0.85,0.6319532548758493
704.0245,Zoubos,Konstantinos,Konstantinos Zoubos,male,male,male,male,0.99,0.9963901962527552
704.0248,Weder,Ricardo,Ricardo Weder,male,male,male,male,0.99,0.9968216231261532
704.0249,Ortloff,Jutta,Jutta Ortloff,female,female,female,male,0.97,0.996695536265254
704.0249,Balzer,Matthias,Matthias Balzer,male,male,male,male,1.0,0.9958328710314024
704.0251,Gour,Gilad,Gilad Gour,male,male,male,male,0.99,0.9933168772603808
704.0251,Wallach,Nolan R.,Nolan R. Wallach,male,male,male,male,0.98,0.959549187115358
704.0252,Alok,Ashutosh Kumar,Ashutosh Kumar Alok,male,male,male,male,0.99,0.9953572667975424
