paper id,last_name,first_name,full_name,gender,confidence,gd_gender,gg_gender,genderize_gender,ns_gender,genderize_probability,ns_probability
704.1503,Morrison,Scott,Scott Morrison,male,1.0,male,male,male,male,0.99,0.995600254533744
704.151,Parenti,Irene,Irene Parenti,female,1.0,female,female,female,female,0.99,0.9895189257374264
704.1511,Carlsson,Mats,Mats Carlsson,male,1.0,male,male,male,male,0.99,0.9882482069541992
704.1514,Litim,Daniel F.,Daniel F. Litim,male,1.0,male,male,male,male,0.99,0.9768880832275536
704.1518,Watson,Dan M.,Dan M. Watson,male,1.0,male,male,male,male,0.95,0.9047971527499448
704.1518,Furlan,Elise,Elise Furlan,female,0.645,female,female,female,male,0.96,0.9706146767133302
704.1518,Calvet,Nuria,Nuria Calvet,female,1.0,female,female,female,female,0.99,0.9915124034850844
704.1518,Green,Joel D.,Joel D. Green,male,1.0,male,male,male,male,0.98,0.9917338879650276
704.1518,dAlessio,Paola,Paola dAlessio,female,1.0,female,female,female,female,0.99,0.9900151068428285
704.1519,Foulkes,Stephen B.,Stephen B. Foulkes,male,1.0,male,male,male,male,0.99,0.9870190663564408
704.1521,Kang,Hyesung,Hyesung Kang,female,0.1475,unknown,unknown,female,female,0.59,0.6429437152437447
704.1521,Ryu,Dongsu,Dongsu Ryu,male,0.25,unknown,unknown,male,male,1.0,0.9550355925759016
704.1521,Cen,Renyue,Renyue Cen,male,0.15810762910980972,unknown,unknown,unknown,male,0.0,0.6324305164392389
704.1526,Liu,Kefeng,Kefeng Liu,male,0.25,unknown,unknown,male,male,1.0,0.8764911078924013
704.1535,Zinoviev,Yu. M.,Yu. M. Zinoviev,male,0.135,unknown,unknown,male,male,0.54,0.987597033789433
704.1537,Sato,Shuichi,Shuichi Sato,male,1.0,male,male,male,male,1.0,0.9876594784849542
704.1539,Sharma,Arun K.,Arun K. Sharma,male,1.0,male,male,male,male,0.98,0.8728659903763325
704.1541,Remm,Elisabeth,Elisabeth Remm,female,1.0,female,female,female,female,0.98,0.9878821441479132
704.1546,Neher,Richard A.,Richard A. Neher,male,1.0,male,male,male,male,0.99,0.9968528931070472
704.1546,Mobius,Wolfram,Wolfram Mobius,male,1.0,male,male,male,male,0.99,0.9958189436542908
704.1551,Wallden,Petros,Petros Wallden,male,1.0,male,male,male,male,0.99,0.9877487829110588
704.155,Zorriasatein,Shahab,Shahab Zorriasatein,male,1.0,male,male,male,male,0.98,0.983298154718478
704.1553,Juschenko,Ekaterina,Ekaterina Juschenko,female,1.0,female,female,female,female,0.98,0.9968426040383924
704.1553,Popovych,Stanislav,Stanislav Popovych,male,1.0,male,male,male,male,0.99,0.9962547723366708
704.1554,Blanchard,Etienne,Etienne Blanchard,male,0.6058762877293719,unknown,male,male,male,0.98,0.6935051509174874
704.1554,Rordam,Mikael,Mikael Rordam,male,0.6820757272826444,unknown,male,male,male,0.99,0.9883029091305776
704.156,Zhang,Zhi-Ming,Zhi-Ming Zhang,male,0.14898051412866528,unknown,unknown,unknown,male,0.0,0.5959220565146611
704.156,Yu,Yafei,Yafei Yu,neutral,0.16774176640875876,unknown,unknown,male,female,0.7,0.64193413127007
704.1561,Vénéreau,Stéphane,Stéphane Vénéreau,male,0.6161656960712529,unknown,male,male,male,0.99,0.7246627842850119
704.1563,Mukherjee,Supratik,Supratik Mukherjee,male,0.25,unknown,unknown,male,male,1.0,0.7085419748552063
704.1563,Majumdar,Nayana,Nayana Majumdar,female,0.6769992408290253,female,unknown,female,female,0.85,0.9879969633161012
704.1564,Anantharaman,Nalini,Nalini Anantharaman,female,1.0,female,female,female,female,0.94,0.9549312152670906
704.157,Sams,Giles,Giles Sams,male,1.0,male,male,male,male,0.98,0.8680262308037295
704.1573,Bommier,Veronique,Veronique Bommier,female,0.6525000000000001,female,female,female,male,0.99,0.9683554704663332
704.1576,Sarajedini,Ata,Ata Sarajedini,male,1.0,male,male,male,male,0.9,0.9951425830426004
704.1578,Lodieu,N,N Lodieu,neutral,0.1522867841232765,unknown,unknown,male,female,0.59,0.6282942729862122
704.158,Adesso,Gerardo,Gerardo Adesso,male,1.0,male,male,male,male,0.99,0.9955696144845908
704.158,Ericsson,Marie,Marie Ericsson,female,1.0,female,female,female,female,0.98,0.982125802945599
704.1587,Reynolds,Christopher S.,Christopher S. Reynolds,male,1.0,male,male,male,male,0.99,0.9801493752275262
704.1589,Argyrakis,Panos,Panos Argyrakis,male,1.0,male,male,male,male,0.99,0.6146689963392229
704.159,Drees,Manuel,Manuel Drees,male,1.0,male,male,male,male,0.99,0.9933023107998356
704.159,Kakizaki,Mitsuru,Mitsuru Kakizaki,male,0.6848142119051648,unknown,male,male,male,1.0,0.9892568476206592
704.1595,Filbet,Francis,Francis Filbet,male,0.6628207947162092,unknown,male,male,male,0.94,0.9612831788648368
704.1595,Paun,Ioana,Ioana Paun,female,1.0,female,female,female,female,0.97,0.9904489721721108
704.1597,Molina,Rafael A.,Rafael A. Molina,male,1.0,male,male,male,male,0.99,0.956001924680144
704.1598,Medin,Zach,Zach Medin,male,0.6525000000000001,male,male,male,female,0.99,0.6399935603926185
704.1598,Lai,Dong,Dong Lai,male,0.6178269660813707,male,unknown,male,male,0.92,0.6813078643254827
704.1598,Potekhin,Alexander Y.,Alexander Y. Potekhin,male,0.6525000000000001,male,male,male,female,0.99,0.5396756905533945
704.1602,Orbay,Metin,Metin Orbay,male,0.6475,male,male,male,female,0.97,0.9529996265954058
704.1602,Karamustafaoglu,Orhan,Orhan Karamustafaoglu,male,1.0,male,male,male,male,0.97,0.9950173204252856
704.1604,Harvey,Jeffrey A.,Jeffrey A. Harvey,male,1.0,male,male,male,male,0.99,0.9957616551402187
704.1607,Lukkarinen,Jani,Jani Lukkarinen,male,0.653755950215296,unknown,male,male,male,0.87,0.9950238008611838
704.1611,Bec,Jeremie,Jeremie Bec,male,0.6813131493987704,unknown,male,male,male,0.98,0.9952525975950816
704.1611,Khanin,Konstantin,Konstantin Khanin,male,1.0,male,male,male,male,1.0,0.9968272070513128
704.1614,Rattenbury,Nicholas J.,Nicholas J. Rattenbury,male,1.0,male,male,male,male,0.99,0.9957410023242096
704.1614,Sumi,Takahiro,Takahiro Sumi,male,1.0,male,male,male,male,1.0,0.979918189517724
704.1614,Smith,Martin C.,Martin C. Smith,male,1.0,male,male,male,male,0.98,0.9457862194471468
704.1616,Chanowitz,Michael S.,Michael S. Chanowitz,male,1.0,male,male,male,male,0.99,0.9864538082742086
704.1619,Debattista,Victor P.,Victor P. Debattista,male,1.0,male,male,male,male,0.99,0.9810148724089546
704.1619,Gerhard,Ortwin,Ortwin Gerhard,male,0.685254256442617,unknown,male,male,male,1.0,0.9910170257704676
704.1619,De Lorenzi,Flavio,Flavio De Lorenzi,male,1.0,male,male,male,male,0.99,0.9915017321615356
704.1623,Datta,Supriyo,Supriyo Datta,neutral,0.20223804352645897,unknown,unknown,male,female,1.0,0.6179043482116717
704.1624,Bergner,Julia E.,Julia E. Bergner,female,1.0,female,female,female,female,0.97,0.9884997778406382
704.1625,Jalsenius,Markus,Markus Jalsenius,male,1.0,male,male,male,male,1.0,0.9947816140521852
704.1625,Pedersen,Kasper,Kasper Pedersen,male,1.0,male,male,male,male,0.98,0.9901775468321964
704.1632,Bony,Jean-Francois,Jean-Francois Bony,male,0.2475,unknown,unknown,male,male,0.99,0.994754690055464
704.1633,Hyttinen,Tapani,Tapani Hyttinen,male,0.435,unknown,male,male,female,0.99,0.5029069582026255
704.1633,Villaveces,Andrés,Andrés Villaveces,male,0.1875,unknown,male,unknown,male,0.0,0.9808684844655572
704.1636,Sheppard,Scott S.,Scott S. Sheppard,male,1.0,male,male,male,male,0.99,0.9956046817057376
704.1638,Pirogov,Yu. F.,Yu. F. Pirogov,male,0.135,unknown,unknown,male,male,0.54,0.9863831133244444
704.1643,Adamczak,Radosław,Radosław Adamczak,male,0.1875,unknown,male,unknown,male,0.0,0.6602144063028798
704.1643,Latała,Rafał,Rafał Latała,male,0.1875,unknown,male,unknown,male,0.0,0.988107447588382
704.1642,Bryant,Tyler,Tyler Bryant,male,0.678236172889082,unknown,male,male,male,0.98,0.982944691556328
704.1642,Singh,Rajiv R. P.,Rajiv R. P. Singh,male,1.0,male,male,male,male,0.99,0.9910735990953484
704.1651,Hrycyna,Orest,Orest Hrycyna,male,1.0,male,male,male,male,1.0,0.9154716651201404
704.1654,Neill,James D.,James D. Neill,male,1.0,male,male,male,male,0.99,0.9956556848809748
704.1654,Hudson,Michael J.,Michael J. Hudson,male,1.0,male,male,male,male,0.99,0.9915252121297856
704.1657,Gomis,Jaume,Jaume Gomis,male,0.6838978399699601,unknown,male,male,male,0.99,0.9955913598798404
704.1659,Giannios,Dimitrios,Dimitrios Giannios,male,1.0,male,male,male,male,0.99,0.9958207389496944
704.1658,Feng,Jonathan L.,Jonathan L. Feng,male,1.0,male,male,male,male,0.99,0.9936637471948564
704.1658,Strigari,Louis E.,Louis E. Strigari,male,1.0,male,male,male,male,0.97,0.9861264929036028
704.1662,An,Haipeng,Haipeng An,male,0.25,unknown,unknown,male,male,1.0,0.9953987790341104
704.1662,Ji,Xiangdong,Xiangdong Ji,male,0.24,unknown,unknown,male,male,0.96,0.6775919034830112
704.1667,Hwa,Terence,Terence Hwa,male,1.0,male,male,male,male,0.99,0.5705580290222652
704.1669,Nielsen,Alex B.,Alex B. Nielsen,male,0.6587427986434381,unknown,male,male,male,0.9,0.9849711945737524
704.1671,Wyithe,Stuart,Stuart Wyithe,male,1.0,male,male,male,male,0.99,0.9968128353095086
704.1672,Yakubovich,Alexander V.,Alexander V. Yakubovich,male,1.0,male,male,male,male,0.99,0.988198053943994
704.1672,Solov'yov,Andrey V.,Andrey V. Solov'yov,male,0.6817487877102404,unknown,male,male,male,0.99,0.9869951508409618
704.1674,Trainor,Thomas A.,Thomas A. Trainor,male,1.0,male,male,male,male,0.99,0.9968177418404686
704.1679,McKinney,Jonathan C.,Jonathan C. McKinney,male,1.0,male,male,male,male,0.99,0.9925987925641164
704.1676,Lerman,Kristina,Kristina Lerman,female,1.0,female,female,female,female,0.98,0.9930727263558436
704.1681,Strom,Stephen E.,Stephen E. Strom,male,0.6525000000000001,male,male,male,female,0.99,0.9872910922699546
704.1687,Watkins,David S.,David S. Watkins,male,1.0,male,male,male,male,0.99,0.9963560519235004
704.1687,Kuzyk,Mark G.,Mark G. Kuzyk,male,1.0,male,male,male,male,0.99,0.9892364511973346
